CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location
50177728,THICK & THIN PIZZA CORP,Brooklyn,1298,MYRTLE AVENUE,11221,9178628803,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.698161261328,-73.924435947672,304,37,042100,,3,BK78,POINT (-73.924435947672 40.698161261328)
50160867,TOKA CHEF KITCHEN,Manhattan,201,ALLEN STREET,10002,3474592184,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.722523488929,-73.988819791819,103,01,003601,1005543,1004170019,MN27,POINT (-73.988819791819 40.722523488929)
50164838,LAOZAO HOTPOT LLC,Queens,37-04,PRINCE STREET,11354,6319439843,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.760713815109,-73.832925810194,407,20,087100,4532160,4049720040,QN22,POINT (-73.832925810194 40.760713815109)
50157160,KERO FITNESS LLC,Staten Island,591,FOREST AVENUE,10310,9177568948,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.630107798728,-74.108919475084,501,49,010500,5004258,5001540140,SI35,POINT (-74.108919475084 40.630107798728)
50132462,PENDING,Queens,80-11,NORTHERN BOULEVARD,11372,9293284330,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.755386363146,-73.887019971947,403,25,030903,4026898,4011760040,QN28,POINT (-73.887019971947 40.755386363146)
50173458,MOTIN SWEETS INC,Queens,153-33,HILLSIDE AVENUE,11432,3476051981,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.707301874416,-73.804237750807,408,24,023600,4207478,4097060052,QN35,POINT (-73.804237750807 40.707301874416)
50123274,K & L MANOR,Brooklyn,4501,GLENWOOD ROAD,11203,3479017828,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.634894127412,-73.933291801944,317,45,083600,3258897,3050220048,BK91,POINT (-73.933291801944 40.634894127412)
50159621,LE BASQUE,Manhattan,15,UNION SQUARE WEST,10003,6467722425,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.735783666285,-73.991296531347,105,02,005200,1016065,1008427502,MN13,POINT (-73.991296531347 40.735783666285)
50170260,ANN & ANDY ROTI SERVICES CORP,Queens,137-42,GUY R BREWER BOULEVARD,11434,3479047101,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.671630689064,-73.774367864914,412,28,029400,4266757,4123090017,QN02,POINT (-73.774367864914 40.671630689064)
50178564,MAMA'S CUPBOARD,Manhattan,20,UNION SQUARE WEST,10003,2123712947,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.736609791786,-73.990679378381,105,02,005200,1016108,1008450002,MN13,POINT (-73.990679378381 40.736609791786)
50167195,THE GYRO PROJECT,Manhattan,2062,BROADWAY,10023,2129837474,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.777944843112,-73.982076501289,107,06,015700,1029873,1011430001,MN14,POINT (-73.982076501289 40.777944843112)
50170271,HONEY B'S,Brooklyn,698,NOSTRAND AVENUE,11216,6465497049,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.674704716569,-73.950055137853,308,36,031701,3030987,3012260143,BK61,POINT (-73.950055137853 40.674704716569)
50172850,DA DAMASO INC,Staten Island,3981,AMBOY ROAD,10308,2124705328,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.550505726565,-74.150454661719,503,51,014604,5070208,5054280001,SI54,POINT (-74.150454661719 40.550505726565)
50106949,GUIRA & TAMBORA,Manhattan,2531,FREDERICK DOUGLASS BOULEVARD,,3479958770,Caribbean,01/03/2023,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,27,,,12/12/2025,Pre-permit (Operational) / Initial Inspection,0,0,,,,,1,,
50179445,HOU HOT POT & EXTREME JI CHINESE BBQ,Manhattan,307,WEST   39 STREET,10018,9178626567,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.755562451832,-73.991719855592,104,03,011500,1013685,1007630031,MN15,POINT (-73.991719855592 40.755562451832)
50173163,VAN LEEUWEN ICE CREAM,Brooklyn,445,GOLD STREET,11201,3478726183,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.690826232689,-73.98345224546,302,33,001500,3397861,3001497501,BK38,POINT (-73.98345224546 40.690826232689)
50171360,VICTORIA PIZZA,Brooklyn,2716,GERRITSEN AVENUE,11229,9179743116,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.592841719985,-73.925153296262,315,46,062800,3249801,3089250183,BK17,POINT (-73.925153296262 40.592841719985)
50177963,EL CHAPIN 2025,Brooklyn,3917,4 AVENUE,11232,3476004551,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.652468998942,-74.00631039332,307,38,008400,3010521,3007090003,BK32,POINT (-74.00631039332 40.652468998942)
50162197,GREY'S DONUTS LLC,Manhattan,1,HERALD SQUARE,10001,48792171,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.750541907818,-73.987541021756,105,04,010900,1089436,1008100045,MN17,POINT (-73.987541021756 40.750541907818)
50170896,PINOY AKO,Queens,178-25,HILLSIDE AVENUE,11432,9172872421,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.712353613774,-73.785065336606,408,24,046600,4212925,4099370060,QN06,POINT (-73.785065336606 40.712353613774)
50173706,MAVIK ENTERPRISES INC,Manhattan,427,GANSEVOORT STREET,10014,5165156626,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.739316033376,-74.010428840417,102,03,007900,1000000,1006510001,MN23,POINT (-74.010428840417 40.739316033376)
50169210,20516  FOOD CORP,Queens,205-16,LINDEN BOULEVARD,11412,7182246030,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.695843219577,-73.747126963466,412,27,038400,4272243,4126350004,QN08,POINT (-73.747126963466 40.695843219577)
50107047,KING BARKA,Manhattan,2733,FREDERICK DOUGLASS BOULEVARD,,3476418572,Caribbean,12/17/2024,No violations were recorded at the time of this inspection.,,,Not Applicable,0,A,12/17/2024,12/12/2025,Cycle Inspection / Re-inspection,0,0,,,,,1,,
50111961,BROOKLAN,Brooklyn,339,TROUTMAN STREET,11237,3304753887,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.705234377085,-73.924189854003,304,34,044700,3072389,3031760001,BK77,POINT (-73.924189854003 40.705234377085)
50178159,HALAL XPRESS ONE INC.,Staten Island,2226,HYLAN BOULEVARD,10306,9297269710,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.576185525657,-74.103989539558,502,50,011202,5053578,5036970013,SI45,POINT (-74.103989539558 40.576185525657)
50162045,WOOD FIRED EDIBLES INC.,Manhattan,1802,65 STREET,,5164455245,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,0,0,,,,,1,,
50162955,KID,Manhattan,157,WEST   18 STREET,10011,5165676500,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.740518662562,-73.996575381015,104,03,008700,1014713,1007940009,MN13,POINT (-73.996575381015 40.740518662562)
50167441,"BRAIDPOINT HOLDINGS, INC.",Manhattan,1000,8 AVENUE,10019,9175883043,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.766812226924,-73.982808747226,104,06,013900,1026054,1010480033,MN15,POINT (-73.982808747226 40.766812226924)
50161126,SWEET BILLIARDS BAR,Bronx,3004,HEATH AVENUE,10463,9297101316,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.876016050957,-73.902999628064,208,14,027300,2015736,2032560172,BX28,POINT (-73.902999628064 40.876016050957)
50162914,PETISO  BRAZUCA LLC,Manhattan,1,HERALD SQUARE,10001,631482603,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.750541907818,-73.987541021756,105,04,010900,1089436,1008100045,MN17,POINT (-73.987541021756 40.750541907818)
40380164,CUCHIFRITOS,Bronx,158,EAST  188 TH STREET,,7183674500,Spanish,01/24/2022,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,16,B,01/24/2022,12/12/2025,Cycle Inspection / Re-inspection,0,0,,,,,2,,
50165788,DA PIZZA LLC,Manhattan,309,WEST   50 STREET,10019,9173182097,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.762555628615,-73.986730157337,104,03,013300,1025174,1010410027,MN15,POINT (-73.986730157337 40.762555628615)
50145290,GELATERRA,Staten Island,8,NAVY PIER COURT,10304,7185643512,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.628804214914,-74.074382826559,501,49,002100,5158987,5004877502,SI37,POINT (-74.074382826559 40.628804214914)
50112406,MANDEVILLE CAFE,Brooklyn,171,UTICA AVENUE,11213,7188726663,Caribbean,10/31/2022,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,13,A,10/31/2022,12/12/2025,Cycle Inspection / Re-inspection,40.672992895318,-73.930715632879,308,36,034700,3036281,3013670009,BK61,POINT (-73.930715632879 40.672992895318)
50104509,CHELSEA PIERS GOLF BAR AND LOUNGEQ,Manhattan,,CHELSEA PIERS,10011,2123366831,,01/01/1900,,,,Not Applicable,,,,12/12/2025,,40.747992386672,-74.008495743918,,,,,,,POINT (-74.008495743918 40.747992386672)
